level,trial_index,n_requests,n_success,n_failure,wall_s,total_completion_tokens,tok_s,prompt_tokens_target
1,0,1,1,0,14.806444819027092,94,6.348586791017169,1024
1,1,1,1,0,13.686880168039352,83,6.064201555137146,1024
2,0,2,2,0,34.78398816200206,239,6.870977499385277,1024
2,1,2,2,0,39.599595912965015,280,7.070779222480077,1024
4,0,4,4,0,57.12814059102675,589,10.310155273853173,1024
4,1,4,4,0,85.99480166198919,903,10.500634719169748,1024
8,0,8,8,0,103.46672940900316,1385,13.385945490990693,1024
8,1,8,8,0,92.64310944697354,1093,11.797963243295545,1024
